Year,5-Year_MA,Month,Temperature_Values,Season_Autumn,Season_Spring,Season_Summer,Season_Winter,Avg_Seasonal_Temp
1923,-0.979275174698171,Feb,-0.9959656491143443,0,0,0,1,-0.9959656491143443
1924,-0.9490167600982358,Feb,-0.9904908554735842,0,0,0,1,-0.9904908554735842
1925,-0.8966464271368095,Feb,-1.0507135855219465,0,0,0,1,-1.0507135855219465
1926,-0.855913945944589,Feb,-0.935742919065982,0,0,0,1,-0.935742919065982
1927,-0.8268193165215746,Feb,-0.787923490765456,0,0,0,1,-0.787923490765456
1928,-0.7930695463908775,Feb,-0.6291544751834094,0,0,0,1,-0.6291544751834094
1929,-0.7709576280293863,Feb,-0.8207722526100173,0,0,0,1,-0.8207722526100173
1930,-0.7488457096678952,Feb,-0.7550747289208947,0,0,0,1,-0.7550747289208947
1931,-0.7348802875448481,Feb,-0.8864697762991399,0,0,0,1,-0.8864697762991399
1932,-0.7220786505987217,Feb,-0.8809949826583797,0,0,0,1,-0.8809949826583797
1933,-0.726733791306404,Feb,-0.9904908554735841,0,0,0,1,-0.9904908554735841
1934,-0.692984021175707,Feb,-0.6893772052317719,0,0,0,1,-0.6893772052317719
1935,-0.6708721028142159,Feb,-0.46491066596060276,0,0,0,1,-0.46491066596060276
1936,-0.6557428955142481,Feb,-0.5525073642127664,0,0,0,1,-0.5525073642127664
1937,-0.6324671919758366,Feb,-0.44301149139756185,0,0,0,1,-0.44301149139756185
1938,-0.5672952220682838,Feb,-0.25686850761171437,0,0,0,1,-0.25686850761171437
1939,-0.5184162446376193,Feb,-0.273292888533995,0,0,0,1,-0.273292888533995
1940,-0.42764100083781353,Feb,-0.3061416503785564,0,0,0,1,-0.3061416503785564
1941,-0.2926419203150256,Feb,0.06066952355237847,0,0,0,1,0.06066952355237847
1942,-0.16229798049992003,Feb,0.05519472991161825,0,0,0,1,0.05519472991161825
1943,-0.05406595904630558,Feb,0.1263670472415011,0,0,0,1,0.1263670472415011
1944,0.0681314845303559,Feb,0.2906108564643078,0,0,0,1,0.2906108564643078
1945,0.14959644691479687,Feb,0.25228730097898616,0,0,0,1,0.25228730097898616
1946,0.16356186903784395,Feb,0.09899307903770006,0,0,0,1,0.09899307903770006
1947,0.15657915797632038,Feb,0.044245142630097795,0,0,0,1,0.044245142630097795
1948,0.1158466767840999,Feb,-0.1309482538742293,0,0,0,1,-0.1309482538742293
1949,0.013433581215088374,Feb,-0.3389904122231177,0,0,0,1,-0.3389904122231177
1950,-0.11574657342309662,Feb,-0.49228463416440393,0,0,0,1,-0.49228463416440393
1951,-0.21583209863826694,Feb,-0.7331755543578538,0,0,0,1,-0.7331755543578538
1952,-0.3007884165534697,Feb,-0.6291544751834094,0,0,0,1,-0.6291544751834094
1953,-0.3403571125687696,Feb,-0.46491066596060276,0,0,0,1,-0.46491066596060276
1954,-0.3461760384533725,Feb,-0.44301149139756185,0,0,0,1,-0.44301149139756185
1955,-0.3182451942072785,Feb,-0.3827887613491995,0,0,0,1,-0.3827887613491995
1956,-0.30427977208423146,Feb,-0.2842424758155155,0,0,0,1,-0.2842424758155155
1957,-0.29031434996118444,Feb,-0.36088958678615857,0,0,0,1,-0.36088958678615857
1958,-0.3007884165534697,Feb,-0.32256603130083705,0,0,0,1,-0.32256603130083705
1959,-0.29031434996118444,Feb,-0.22949453940791323,0,0,0,1,-0.22949453940791323
1960,-0.2705300019535345,Feb,-0.07072552382586682,0,0,0,1,-0.07072552382586682
1961,-0.20768560239982287,Feb,0.1646906027268227,0,0,0,1,0.1646906027268227
1962,-0.15182391390763478,Feb,0.26323688826050673,0,0,0,1,0.26323688826050673
1963,-0.09479844023852607,Feb,0.24133771369746582,0,0,0,1,0.24133771369746582
1964,-0.08316058846932023,Feb,0.14826622180454202,0,0,0,1,0.14826622180454202
1965,-0.0936346550616055,Feb,-0.015977587418264636,0,0,0,1,-0.015977587418264636
1966,-0.14716877319995242,Feb,-0.14189784115574972,0,0,0,1,-0.14189784115574972
1967,-0.2041942468690611,Feb,-0.3389904122231177,0,0,0,1,-0.3389904122231177
1968,-0.2751851426612168,Feb,-0.5141838087274447,0,0,0,1,-0.5141838087274447
1969,-0.2903143499611844,Feb,-0.5579821578535265,0,0,0,1,-0.5579821578535265
1970,-0.27984028336889916,Feb,-0.34446520586387797,0,0,0,1,-0.34446520586387797
1971,-0.25772836500740803,Feb,-0.40468793591224034,0,0,0,1,-0.40468793591224034
1972,-0.22630616523055225,Feb,-0.3882635549899597,0,0,0,1,-0.3882635549899597
1973,-0.15182391390763478,Feb,-0.1364230475149895,0,0,0,1,-0.1364230475149895
1974,-0.12040171413077895,Feb,-0.18569619028183146,0,0,0,1,-0.18569619028183146
1975,-0.10992764753849368,Feb,-0.26234330125247457,0,0,0,1,-0.26234330125247457
1976,-0.09945358094620842,Feb,-0.2130701584856326,0,0,0,1,-0.2130701584856326
1977,-0.07268652187703496,Feb,0.011396380785536476,0,0,0,1,0.011396380785536476
1978,-0.0843243736462408,Feb,-0.10904907931118837,0,0,0,1,-0.10904907931118837
1979,-0.05522974422322616,Feb,-0.015977587418264598,0,0,0,1,-0.015977587418264598
1980,0.00994222568432664,Feb,0.15374101544530233,0,0,0,1,0.15374101544530233
1981,0.1263207433763852,Feb,0.41653111020179295,0,0,0,1,0.41653111020179295
1982,0.21825977235311145,Feb,0.3727327610757112,0,0,0,1,0.3727327610757112
1983,0.348603712168217,Feb,0.5534009512207985,0,0,0,1,0.5534009512207985
1984,0.4521805929141492,Feb,0.6847959985990437,0,0,0,1,0.6847959985990437
1985,0.5080422814063373,Feb,0.44937987204635416,0,0,0,1,0.44937987204635416
1986,0.49873199999097256,Feb,0.4220059038425532,0,0,0,1,0.4220059038425532
1987,0.5150249924678607,Feb,0.5753001257838394,0,0,0,1,0.5753001257838394
1988,0.5126974221140196,Feb,0.5807749194245995,0,0,0,1,0.5807749194245995
1989,0.5231714887063049,Feb,0.6683716176767629,0,0,0,1,0.6683716176767629
1990,0.5883434586138576,Feb,0.9311617124332535,0,0,0,1,0.9311617124332535
1991,0.6954116948905515,Feb,1.0023340297631365,0,0,0,1,1.0023340297631365
1992,0.769893946213469,Feb,0.9859096488408556,0,0,0,1,0.9859096488408556
1993,0.8164453532902924,Feb,0.9475860933555342,0,0,0,1,0.9475860933555342
1994,0.8548502641286715,Feb,0.7942918714142481,0,0,0,1,0.7942918714142481
1995,0.8536864789517511,Feb,0.985909648840856,0,0,0,1,0.985909648840856
1996,0.8187729236441335,Feb,0.964010474277815,0,0,0,1,0.964010474277815
1997,0.8245918495287364,Feb,0.9694852679185751,0,0,0,1,0.9694852679185751
1998,0.893255174967051,Feb,1.2486997435973461,0,0,0,1,1.2486997435973461
1999,0.9654098559361273,Feb,1.5881369493244801,0,0,0,1,1.5881369493244801
2000,1.032909396197521,Feb,1.4622166955869953,0,0,0,1,1.4622166955869953
2001,1.131831136235771,Feb,1.4457923146647145,0,0,0,1,1.4457923146647145
2002,1.2202788096817354,Feb,1.648359679372843,0,0,0,1,1.648359679372843
2003,1.2656664315816382,Feb,1.484115870150036,0,0,0,1,1.484115870150036
2004,1.320364334896906,Feb,1.527914219276118,0,0,0,1,1.527914219276118
2005,1.4146309342274732,Feb,1.5498133938391585,0,0,0,1,1.5498133938391585
2006,1.4984234669657555,Feb,1.7140572030619656,0,0,0,1,1.7140572030619656
2007,1.56708679240407,Feb,1.6702588539358836,0,0,0,1,1.6702588539358836
2008,1.6252760512500992,Feb,1.5607629811206793,0,0,0,1,1.5607629811206793
2009,1.6811377397422873,Feb,1.4512671083054747,0,0,0,1,1.4512671083054747
